,lastLowPrice,low24hPrice,avg24hPrice,prapor,praporCurrency,therapist,therapistCurrency,fence,fenceCurrency,skier,skierCurrency,peacekeeper,peacekeeperCurrency,mechanic,mechanicCurrency,ragman,ragmanCurrency,jaeger,jaegerCurrency
Burris FastFire Weaver Base,15000.0,,15172.0,,,,,,,1820.0,RUB,2016.0,RUB,,,,,,
AK Magpul MOE AKM handguard,16500.0,,15552.0,,,,,,,15814.0,RUB,16688.0,RUB,,,,,,
AK Zenit RK-3 pistol grip,45000.0,,35722.0,,,,,,,9338.0,RUB,,,,,,,,
OKP-7 reflex sight,14000.0,,17729.0,,,,,,,16885.0,RUB,,,,,,,,
SOK-12 CSS rear sight rail mount,,,,,,,,,,2760.0,RUB,,,,,,,,
AKM Hexagon 7.62x39 sound suppressor,25888.0,,28962.0,,,,,,,49122.0,RUB,,,,,,,,
SOK-12 Leapers UTG PRO MTU002 Long Top aluminum handguard,15000.0,,26100.0,,,,,,,11783.0,RUB,,,,,,,,
AR-15 Damage Industries ECS pistol grip (FDE),5000.0,,11213.0,,,,,,,1839.0,RUB,,,,,,,,
"PP-91 ""Kedr"" Rotor 43 RIS mount",9999.0,,25203.0,,,,,,,4397.0,RUB,,,,,,,,
Burris FastFire 3 reflex sight,18999.0,,21968.0,,,,,,,18986.0,RUB,20048.0,RUB,,,,,,
Colt Carbine buffer tube,3000.0,,13584.0,,,,,,,1352.0,RUB,1456.0,RUB,,,,,,
AN/PVS-14 Night Vision Monocular,79999.0,,85392.0,,,,,,,105744.0,RUB,,,,,,,,
AK-74 Hexagon 5.45x39 sound suppressor,31000.0,,38091.0,,,,,,,45278.0,RUB,,,,,,,,
AK Zenit DTK-1 7.62x39/5.45x39 muzzle brake-compensator,11000.0,,15138.0,,,,,,,4865.0,RUB,,,,,,,,
DVL-10 7.62x51 10-round magazine,13333.0,,20005.0,,,,,,,5167.0,RUB,,,,,,,,
SKS Hexagon 7.62x39 sound suppressor,29000.0,,39188.0,,,,,,,50456.0,RUB,,,,,,,,
EOTech XPS3-0 holographic sight,29999.0,,34688.0,,,,,,,29120.0,RUB,29120.0,RUB,,,,,,
Hexagon 12K 12ga sound suppressor,26500.0,,36195.0,,,,,,,26494.0,RUB,,,,,,,,
SOK-12 Leapers UTG PRO MTU002 Short Top aluminum handguard,10000.0,,16643.0,,,,,,,8670.0,RUB,,,,,,,,
AKM/AK-74 ME4 buffer tube adapter,14444.0,,20121.0,,,,,,,5811.0,RUB,,,,,,,,
"AK Zenit PT-3 ""Klassika"" stock",21000.0,,29465.0,,,,,,,22950.0,RUB,,,,,,,,
AR-15 PWS CQB 5.56x45 muzzle brake,12999.0,,16683.0,,,,,,,13789.0,RUB,14560.0,RUB,,,,,,
DVL-10 7.62x51 muzzle device,27000.0,,35022.0,,,,,,,6031.0,RUB,,,,,,,,
M870 12ga 508mm barrel with a fixed sight,20000.0,,13166.0,,,,,,,8514.0,RUB,,,,,,,,
Lobaev Arms DVL-10 7.62x51 bolt-action sniper rifle,,,,,,,,,,80243.0,RUB,,,,,,,,
DVL-10 7.62x51 500mm barrel,38888.0,,44932.0,,,,,,,39873.0,RUB,,,,,,,,
AR-15 Daniel Defense RIS II 9.5 handguard,22222.0,,24581.0,,,,,,,18592.0,RUB,17808.0,RUB,,,,,,
VOMZ Pilad P1x42 Weaver reflex sight,12220.0,,15292.0,,,,,,,13915.0,RUB,,,,,,,,
AK-74 PWS CQB 74 5.45x39 muzzle brake,25000.0,,30361.0,,,,,,,15615.0,RUB,,,,,,,,
Vortex Razor AMG UH-1 holographic sight,30000.0,,37567.0,,,,,,,29725.0,RUB,,,,,,,,
Ultrafire WF-501B flashlight,5000.0,,9230.0,,,,,,,43.0,EUR,4592.0,RUB,,,,,,
9x19mm Luger CCI,,,,,,,,,,447.0,RUB,,,,,,,,
AK 7.62x39 Molot 40-round magazine (6P2.Sb-11),8000.0,,18556.0,,,,,,,2862.0,RUB,,,,,,,,
AK Zenit RP-1 charging handle,4999.0,,11202.0,,,,,,,3063.0,RUB,,,,,,,,
"VPO-136 ""Vepr-KM"" wooden handguard",920.0,,,,,,,,,922.0,RUB,,,,,,,,
"Molot VPO-136 ""Vepr-KM"" 7.62x39 carbine",,,,,,,,,,32420.0,RUB,,,,,,,,
.366 TKM FMJ,,,,,,,,,,51.0,RUB,,,,,,,45.0,RUB
AK bakelite pistol grip,883.0,,883.0,,,,,,,884.0,RUB,,,,,,,,
SOK-12 12/76 sb.5 5-round magazine,1800.0,,,,,,,,,1949.0,RUB,,,,,,,1779.0,RUB
Kiba Arms 25mm accessory ring mount,3099.0,,8516.0,,,,,,,3219.0,RUB,3472.0,RUB,3135.0,RUB,,,,
5.56x45mm FMJ,,,,,,,,,,98.0,RUB,,,,,,,,
Molot VPO-209 .366 TKM carbine,,,,,,,,,,29392.0,RUB,,,,,,,32333.0,RUB
Saiga-9 9x19 sb.7 10-round magazine,1500.0,,8861.0,,,,,,,1724.0,RUB,,,,,,,,
"Glock 9x19 ""Big Stick"" 33-round magazine",7777.0,,13934.0,,,,,,,3400.0,RUB,,,33.0,EUR,,,,
AK UltiMAK M1-B gas tube & handguard,7500.0,,13052.0,,,,,,,2578.0,RUB,,,,,,,,
12/70 lead slug,,,,,,,,,,65.0,RUB,,,,,,,59.0,RUB
Viking Tactics UVG tactical foregrip,14000.0,,23578.0,,,,,,,7508.0,RUB,7952.0,RUB,,,,,,
Magpul AFG tactical foregrip,17500.0,,15492.0,,,,,,,8400.0,RUB,6384.0,RUB,7086.0,RUB,,,,
Walther MRS reflex sight,13000.0,,14735.0,,,,,,,13800.0,RUB,,,,,,,,
20/70 7.5mm buckshot,,,,,,,,,,28.0,RUB,,,,,,,26.0,RUB
Magpul MOE Carbine rubber buttpad,7144.0,,24745.0,,,,,,,7145.0,RUB,7840.0,RUB,,,,,,
M870 FAB Defense AGR-870 pistol grip,9999.0,,14734.0,,,,,,,3300.0,RUB,,,,,,,,
Armacon Baskak stock,9000.0,,12206.0,,,,,,,6189.0,RUB,,,,,,,,
12/70 7mm buckshot,,,,,,,,,,35.0,RUB,,,,,,,32.0,RUB
AK 7.62x39 ribbed metal 10-round magazine,2999.0,,,,,,,,,1148.0,RUB,,,,,,,,
Molot AKM-type dust cover,2597.0,,,,,,,,,1148.0,RUB,,,,,,,,
AK 7.62x39 Taktika Tula muzzle adapter,6990.0,,8820.0,,,,,,,708.0,RUB,,,,,,,,
AKS-74U Zenit B-11 handguard,6500.0,,12818.0,,,,,,,5974.0,RUB,,,,,,,,
Remington Model 870 12ga pump-action shotgun,,,,,,,,,,33923.0,RUB,,,,,,,,
Holosun HS401G5 reflex sight,12999.0,,14458.0,,,,,,,17131.0,RUB,,,,,,,,
AKM Zenit DTK-4M 7.62x39 sound suppressor,29000.0,,32015.0,,,,,,,55675.0,RUB,,,,,,,,
5.56x45 Magpul PMAG 10 GEN M3 STANAG 10-round magazine,2300.0,,2180.0,,,,,,,2302.0,RUB,,,,,,,,
AKS-74/AKS-74U Zenit PT Lock,40000.0,,42222.0,,,,,,,3713.0,RUB,,,,,,,,
SA-58 FAB Defense AG-FAL pistol grip,25000.0,,23947.0,,,,,,,4845.0,RUB,,,,,,,,
Saiga-9 9x19 carbine,,,,,,,,,,16198.0,RUB,,,,,,,,
TOZ-106 20ga MTs 20-01 Sb.3 2-shot magazine,1000.0,,1566.0,,,,,,,903.0,RUB,,,,,,,825.0,RUB
AK-74M/AK-100 Zenit PT Lock,3111.0,,25265.0,,,,,,,3120.0,RUB,,,,,,,,
"VPO-136 ""Vepr-KM"" wooden stock",8500.0,,,,,,,,,2098.0,RUB,,,,,,,,
FAB Defense GL-SHOCK buttstock,28000.0,,33329.0,,,,,,,11927.0,RUB,,,,,,,,
Armytek Predator Pro v3 XHP35 HI flashlight,5400.0,,9885.0,,,,,,,6957.0,RUB,,,,,,,,
M870 FAB Defense PR-870 forestock,11000.0,,18758.0,,,,,,,2359.0,RUB,,,,,,,,
TOZ-106 20ga bolt-action shotgun,,,,,,,,,,8917.0,RUB,,,,,,,7080.0,RUB
AR-15 ADAR 2-15 buffer tube,10000.0,,7200.0,,,,,,,920.0,RUB,,,,,,,,
AKM/AK-74 Zenit PT Lock,12999.0,,19167.0,,,,,,,3668.0,RUB,,,,,,,,
PNV-10T Night Vision Goggles,31000.0,,35984.0,,,,,,,32200.0,RUB,,,,,,,,
"AK Zenit PT-1 ""Klassika"" stock",15444.0,,18278.0,,,,,,,13522.0,RUB,,,,,,,,
Rotor 43 .366 TKM muzzle brake-compensator,23400.0,,27303.0,,,,,,,28784.0,RUB,,,,,,,,
Zenit Perst-3 tactical device,22000.0,,26910.0,,,,,,,19608.0,RUB,,,,,,,,
PNV-10T dovetail adapter,50000.0,,,,,,,,,2657.0,RUB,,,,,,,,
Zenit RK-0 tactical foregrip,10420.0,,19651.0,,,,,,,7245.0,RUB,,,,,,,,
AKM/AK-74 FAB Defense UAS stock,25555.0,,27653.0,,,,,,,18489.0,RUB,,,,,,,,
FAB Defense GLR-16-S stock,13111.0,,17449.0,,,,,,,5520.0,RUB,,,,,,,,
"PP-19-01 ""Vityaz"" 9x19 PUFGUN SG-919 20 20-round magazine",3999.0,,5374.0,,,,,,,2128.0,RUB,,,,,,,,
AK 7.62x39 aluminium 10-round magazine,2500.0,,,,,,,,,805.0,RUB,,,,,,,,
Zenit RK-1 tactical foregrip on B-25U mount,39999.0,,88707.0,,,,,,,48444.0,RUB,,,,,,,,
ADAR 2-15 5.56x45 carbine,,,,,,,,,,45388.0,RUB,,,,,,,,
Compact Mount adapter for sights,600000.0,,1299999.0,,,,,,,1150.0,RUB,,,,,,,,
FAB Defense protection cap for AGR-870,296.0,,,,,,,,,297.0,RUB,,,,,,,,
Glock FAB Defense GLR-17 stock,21000.0,,28869.0,,,,,,,10580.0,RUB,,,,,,,,
Zenit RK-2 tactical foregrip,88000.0,,77885.0,,,,,,,26227.0,RUB,,,,,,,,
M700 Magpul Pro 700 chassis,25000.0,,26965.0,,,,,,,20668.0,RUB,,,,,,,,
Zenit RK-6 tactical foregrip,8875.0,,9877.0,,,,,,,7263.0,RUB,,,,,,,,
"Zenit B-13 ""Klassika"" dovetail rail platform",15000.0,,24681.0,,,,,,,8970.0,RUB,,,,,,,,
AR-15 5.56x45 Molot Arms 406mm barrel,19998.0,,24945.0,,,,,,,18630.0,RUB,,,,,,,,
AK Magpul Zhukov-U handguard,19000.0,,21275.0,,,,,,,22080.0,RUB,,,,,,,,
AR-15 SAI 14.5 inch QD Rail handguard,199999.0,,91196.0,,,,,,,41832.0,RUB,,,,,,,,
Zenit RK-1 tactical foregrip,27888.0,,46847.0,,,,,,,20496.0,RUB,,,,,,,,
AR-15 SAI JailBrake 5.56x45 muzzle device,15555.0,,19124.0,,,,,,,23538.0,RUB,,,,,,,,
Zenit RK-5 tactical foregrip,11111.0,,20993.0,,,,,,,6912.0,RUB,,,,,,,,
MP-133/153 Taktika Tula 12003 stock adapter,8777.0,,13379.0,,,,,,,2530.0,RUB,,,,,,,,
AK Venom Tactical Antidote 7.62x39 muzzle brake-compensator,15000.0,,21476.0,,,,,,,11328.0,RUB,,,,,,,,
Zenit RK-4 tactical foregrip,10999.0,,16822.0,,,,,,,9145.0,RUB,,,,,,,,
"Zenit B-13V ""Klassika"" dovetail rail platform",15511.0,,20212.0,,,,,,,8740.0,RUB,,,,,,,,
Primary Arms Compact Prism scope 2.5x,23299.0,,23528.0,,,,,,,20125.0,RUB,,,,,,,,
M700 Magpul Pro 700 pistol grip,15000.0,,15000.0,,,,,,,2070.0,RUB,,,,,,,,
FN PS90 stock,75000.0,,,,,,,,,3853.0,RUB,,,,,,,,
SKS/VZ-58 FAB Defense AG-58 pistol grip,18000.0,,16832.0,,,,,,,7310.0,RUB,,,,,,,,
AK AKademia Bastion dust cover,8420.0,,14379.0,,,,,,,6325.0,RUB,,,,,,,,
AR-15 Magpul MOE SL carbine length M-LOK handguard,12000.0,,18855.0,,,,,,,10120.0,RUB,,,,,,,,
FAB Defense buffer tube for AGR-870,13333.0,,14666.0,,,,,,,1231.0,RUB,,,,,,,,
M700 Magpul Pro 700 chassis inline mount,2500.0,,13771.0,,,,,,,2691.0,RUB,,,,,,,,
AK Lantac Drakon 7.62x39 muzzle brake,14000.0,,24689.0,,,,,,,14145.0,RUB,,,,,,,,
AK TDI AKM-L handguard,19999.0,,12141.0,,,,,,,4830.0,RUB,,,,,,,,
RTM Pillau tactical foregrip,5420.0,,9788.0,,,,,,,4025.0,RUB,,,,,,,,
AR-15 Magpul MOE SL medium length M-LOK handguard,10999.0,,18656.0,,,,,,,12765.0,RUB,,,,,,,,
WASR-10/63 CAF wooden foregrip,19999.0,,19999.0,,,,,,,3968.0,RUB,,,,,,,,
Lone Star TX-15 DML 5.56x45 carbine,,,,,,,,,,209031.0,RUB,,,,,,,,
AK Vezhlivyy Strelok VS-24 + VS-33c handguard & gas tube combo (White),60000.0,,67304.0,,,,,,,20240.0,RUB,,,,,,,,
FN PS90 5.7x28 upper receiver,9998.0,,14925.0,,,,,,,2530.0,RUB,,,,,,,,
M700 Magpul Pro 700 folding stock,7000.0,,13757.0,,,,,,,5404.0,RUB,,,,,,,,
ORSIS T-5000M 7.62x51 5-round magazine,24997.0,,,,,,,,,2243.0,RUB,,,,,,,,
AK FAB Defense PDC dust cover,311111.0,,52131.0,,,,,,,18786.0,RUB,,,,,,,,
NcSTAR Tactical blue laser LAM-module,15000.0,,15185.0,,,,,,,5658.0,RUB,,,,,,,,
M700 7.62x51 Magpul PMAG AC 10-round magazine,11420.0,,29000.0,,,,,,,5750.0,RUB,,,,,,,,
ORSIS T-5000M padded handguard grip,7777.0,,7858.0,,,,,,,2128.0,RUB,,,,,,,,
M700 7.62x51 Magpul PMAG AC 5-round magazine,12123.0,,15061.0,,,,,,,3220.0,RUB,,,,,,,,
SKS FAB Defense UAS stock,39999.0,,58147.0,,,,,,,23057.0,RUB,,,,,,,,
TDI KRISS Vector Gen.2 .45 ACP submachine gun,,,,,,,,,,89439.0,RUB,,,,,,,,
FN P90 5.7x28 16 inch barrel,,,,,,,,,,25645.0,RUB,,,,,,,,
AR-15 DLG Tactical DLG-123 pistol grip,9998.0,,14932.0,,,,,,,1898.0,RUB,,,,,,,,
Rotor 43 7.62x54R muzzle brake-compensator,33333.0,,43645.0,,,,,,,53130.0,RUB,,,,,,,,
ORSIS T-5000M 7.62x51 muzzle brake-compensator,14990.0,,17007.0,,,,,,,5241.0,RUB,,,,,,,,
AK Zenit B-10 Handguard,39999.0,,22362.0,,,,,,,7049.0,RUB,,,,,,,,
CMMG Mk47 Mutant 7.62x39 assault rifle,,,,,,,,,,138930.0,RUB,,,,,,,,
MCX pistol grip,18000.0,,14277.0,,,,,,,2760.0,RUB,,,,,,,,
AK Vezhlivyy Strelok VS-24 + VS-33c handguard & gas tube combo,41111.0,,60419.0,,,,,,,20240.0,RUB,,,,,,,,
AR-15 SAI 10 inch QD Rail handguard,32222.0,,40292.0,,,,,,,34362.0,RUB,,,,,,,,
7.62x51mm BCP FMJ,,,,,,,,,,173.0,RUB,,,,,,,158.0,RUB
MCX flip-up rear sight,14800.0,,15000.0,,,,,,,1208.0,RUB,,,,,,,,
KRISS Vector .45 ACP flash hider,19000.0,,,,,,,,,1541.0,RUB,,,,,,,,
AR-15 SureFire WarComp 5.56x45 flash hider,22222.0,,31348.0,,,,,,,5520.0,RUB,,,,,,,,
SIG Sauer Micro Brake 7.62x51 muzzle brake,8000.0,,14608.0,,,,,,,2691.0,RUB,,,,,,,,
STM-9 magwell,1811.0,,1811.0,,,,,,,1468.0,RUB,,,,,,,,
MCX .300 BLK 229mm barrel,34900.0,,27423.0,,,,,,,22331.0,RUB,,,,,,,,
KRISS Vector Gen.2 folding stock,10000.0,,12969.0,,,,,,,7038.0,RUB,,,,,,,,
KRISS Vector side rail,10000.0,,10000.0,,,,,,,1188.0,RUB,,,,,,,,
KRISS Vector 9x19 6 inch barrel,24000.0,,24000.0,,,,,,,11155.0,RUB,,,,,,,,
KRISS Vector .45 ACP 5 inch barrel,6000.0,,22619.0,,,,,,,10235.0,RUB,,,,,,,,
AK Zenit B-30 handguard with B-31S upper handguard rail,53333.0,,51583.0,,,,,,,21077.0,RUB,,,,,,,,
STM-9 9x19 16 inch barrel,117000.0,,76000.0,,,,,,,14375.0,RUB,,,,,,,,
OPSMEN Earmor M32 headset,,,,,,,,,,28750.0,RUB,,,,,,,,
.300 Blackout BCP FMJ,,,,,,,,,,91.0,RUB,,,,,,,,
RFB scope rail mount,16500.0,,22874.0,,,,,,,3036.0,RUB,,,,,,,,
KRISS Vector Pistol Sling adapter,1000.0,,13405.0,,,,,,,1725.0,RUB,,,,,,,,
KRISS Vector .45 ACP 6 inch barrel,18888.0,,34919.0,,,,,,,12305.0,RUB,,,,,,,,
SIG Sauer Taper-LOK 7.62x51/.300 BLK muzzle adapter,16666.0,,22264.0,,,,,,,4865.0,RUB,,,,,,,,
SIG MCX .300 Blackout assault rifle,,,,,,,,,,94533.0,RUB,,,,,,,,
KRISS Vector 9x19 flash hider,10000.0,,7277.0,,,,,,,1541.0,RUB,,,,,,,,
MCX flip-up front sight,14444.0,,24055.0,,,,,,,2703.0,RUB,,,,,,,,
RFB thread spacer,30420.0,,9999.0,,,,,,,2530.0,RUB,,,,,,,,
KRISS Defiance low profile flip-up rear sight,9900.0,,11499.0,,,,,,,3680.0,RUB,,,,,,,,
AK Hexagon DTKP MK.2 7.62x39 sound suppressor,29700.0,,31574.0,,,,,,,59472.0,RUB,,,,,,,,
MPX/MCX lightweight stock,18000.0,,19636.0,,,,,,,7935.0,RUB,,,,,,,,
RFB handguard rail mount,12777.0,,24064.0,,,,,,,2444.0,RUB,,,,,,,,
MCX GEN1 KeyMod 12 inch handguard,15555.0,,26328.0,,,,,,,11500.0,RUB,,,,,,,,
KRISS Vector bottom rail,14441.0,,14441.0,,,,,,,1265.0,RUB,,,,,,,,
SOK-12 Custom Guns Type-340 handguard,16500.0,,22877.0,,,,,,,18170.0,RUB,,,,,,,,
MCX GEN1 KeyMod 8 inch handguard,10000.0,,17733.0,,,,,,,9200.0,RUB,,,,,,,,
KRISS Vector 9x19 5 inch barrel,19998.0,,19025.0,,,,,,,9430.0,RUB,,,,,,,,
Kel-Tec RFB 7.62x51 rifle,,,,,,,,,,55199.0,RUB,,,,,,,,
KRISS Defiance low profile flip-up front sight,20000.0,,10832.0,,,,,,,2530.0,RUB,,,,,,,,
Glock .45 ACP 13-round magazine,9994.0,,9995.0,,,,,,,1783.0,RUB,,,,,,,,
ORSIS T-5000M 7.62x51 bolt-action sniper rifle,,,,,,,,,,73329.0,RUB,,,,,,,,
Mk47 ambidextrous charging handle,7777.0,,11239.0,,,,,,,2530.0,RUB,,,,,,,,
AR-15 Soyuz-TM 9 inch M-LOK handguard,13000.0,,24069.0,,,,,,,12075.0,RUB,,,,,,,,
Custom Guns handguard rail,10000.0,,9585.0,,,,,,,1150.0,RUB,,,,,,,,
STM-9 9x19 10.5 inch barrel,8049.0,,16423.0,,,,,,,8050.0,RUB,,,,,,,,
CMMG RipStock buttstock,6000.0,,10618.0,,,,,,,4025.0,RUB,,,,,,,,
STM-9 9x19 muzzle brake,1999.0,,4993.0,,,,,,,2194.0,RUB,,,,,,,,
AK TDI X47 tactical handguard rail system,19999.0,,28602.0,,,,,,,22195.0,RUB,,,,,,,,
SIG Sauer ROMEO8T reflex sight,19900.0,,24790.0,,,,,,,33235.0,RUB,,,,,,,,
STM-9 9x19 12 inch barrel,8000.0,,,,,,,,,8625.0,RUB,,,,,,,,
AK Custom Arms AGS-74 PRO + Sniper Kit pistol grip,58999.0,,66899.0,,,,,,,16445.0,RUB,,,,,,,,
MCX .300 BLK 171mm barrel,9999.0,,16959.0,,,,,,,18536.0,RUB,,,,,,,,
AR-15 Soyuz-TM 15 inch M-LOK handguard,32000.0,,36629.0,,,,,,,17250.0,RUB,,,,,,,,
CMMG buffer tube,9696.0,,15223.0,,,,,,,4370.0,RUB,,,,,,,,
TDI KRISS Vector Gen.2 9x19 submachine gun,,,,,,,,,,96715.0,RUB,,,,,,,,
STM-9 9x19 14 inch barrel,88888.0,,78777.0,,,,,,,11500.0,RUB,,,,,,,,
AR-15 Soyuz-TM 12 inch M-LOK handguard,17999.0,,20731.0,,,,,,,14375.0,RUB,,,,,,,,
Soyuz-TM STM-9 Gen.2 9x19 carbine,,,,,,,,,,44121.0,RUB,,,,,,,,
KRISS Vector non-folding stock adapter,33333.0,,22460.0,,,,,,,4485.0,RUB,,,,,,,,
Chiappa Rhino 50DS .357 revolver,,,,,,,,,,36084.0,RUB,,,,,,,14069.0,RUB
AK FAB Defense AGR-47 pistol grip,14444.0,,14500.0,,,,,,,3450.0,RUB,,,,,,,,
AK 7.62x39 FAB Defense Ultimag 30R 30-round magazine,22222.0,,21832.0,,,,,,,2645.0,RUB,,,,,,,,
Daniel Defense 25mm accessory ring mount,5555.0,,8750.0,,,,,,,2530.0,RUB,,,,,,,,
Magpul M-LOK Cantilever Mount,19999.0,,,,,,,,,2070.0,RUB,,,,,,,,
Magpul M-LOK Offset Light Mount,15110.0,,23217.0,,,,,,,1610.0,RUB,,,,,,,,
SwampFox Trihawk Prism Scope 3x30,,,,,,,,,,34252.0,RUB,,,,,,,,
Olight Baldr Pro tactical flashlight with laser,,,26081.0,,,,,,,9483.0,RUB,,,,,,,,
AK TangoDown Battle Grip pistol grip,15000.0,,18666.0,,,,,,,8625.0,RUB,,,,,,,,
SAG AK-545 5.45x39 carbine,,,,,,,,,,72055.0,RUB,,,,,,,,
SAG AK-545 Short 5.45x39 carbine,,,,,,,,,,81792.0,RUB,,,,,,,,
"MP-443 ""Grach"" Zenit B-8 mount",4900.0,,5155.0,,,,,,,3156.0,RUB,,,,,,,,
AK CSS knurled charging handle,38000.0,,55673.0,,,,,,,5750.0,RUB,,,,,,,,
Zenit Klesch-2IKS IR illuminator with laser,16999.0,,19655.0,,,,,,,22668.0,RUB,,,,,,,,
"PP-19-01 ""Vityaz"" 9x19 PUFGUN SG-919 30 30-round magazine",20000.0,,24949.0,,,,,,,3853.0,RUB,,,,,,,,
FAB Defense GL-CORE buttstock,13000.0,,19952.0,,,,,,,4715.0,RUB,,,,,,,,
Secure container Alpha,,,,,,,,,,,,1024912.0,RUB,,,,,,
FN SCAR side rail,9999.0,,9264.0,,,,,,,,,1568.0,RUB,,,,,,
FN SCAR-L 5.56x45 flash hider,2700.0,,5149.0,,,,,,,,,4256.0,RUB,,,,,,
FN SCAR-H 7.62x51 assault rifle (FDE),,,,,,,,,,,,164640.0,RUB,174030.0,RUB,,,,
FN SCAR-H 7.62x51 assault rifle,,,,,,,,,,,,171584.0,RUB,,,,,,
HK G28 B&T QD 7.62x51 sound suppressor,36666.0,,41119.0,,,,,,,,,71568.0,RUB,,,,,,
FN SCAR flip-up rear sight,14899.0,,6599.0,,,,,,,,,4816.0,RUB,,,,,,
FN SCAR-H 7.62x51 13 inch barrel,39444.0,,43039.0,,,,,,,,,51184.0,RUB,,,,,,
Dollars,,,,,,,,,,,,112.0,RUB,,,,,,
HK UMP .45 ACP 8 inch threaded barrel,16000.0,,36281.0,,,,,,,,,9296.0,RUB,,,,,,
HK Prolonged 7.62x51 flash hider,9966.0,,16480.0,,,,,,,,,4592.0,RUB,,,,,,
AAC SCAR-SD 51T 7.62x51 flash hider,15000.0,,21161.0,,,,,,,,,5152.0,RUB,,,,,,
FN SCAR-L 5.56x45 18 inch barrel,32111.0,,37271.0,,,,,,,,,38864.0,RUB,,,,,,
FN SCAR-L 5.56x45 assault rifle,,,,,,,,,,,,112896.0,RUB,,,,,,
FN SCAR-H 7.62x51 16 inch barrel,28999.0,,32296.0,,,,,,,,,46144.0,RUB,,,,,,
FN SCAR-L 5.56x45 10 inch barrel,28000.0,,35410.0,,,,,,,,,36960.0,RUB,,,,,,
Aimpoint ACRO P-1 reflex sight,12000.0,,18698.0,,,,,,,,,23184.0,RUB,,,,,,
FN SCAR-L 5.56x45 assault rifle (FDE),,,,,,,,,,,,132160.0,RUB,,,,,,
HK USP Red Dot sight mount,29000.0,,29500.0,,,,,,,,,3472.0,RUB,,,,,,
M18 smoke grenade (Green),,,,,,,,,,,,4256.0,RUB,,,,,,
HK UMP B&T OEM .45 ACP sound suppressor,48900.0,,49432.0,,,,,,,,,50624.0,RUB,,,,,,
Model 7290 Flash Bang grenade,,,,,,,,,,,,10864.0,RUB,,,,,,
HK USP .45 ACP pistol,,,,,,,,,,,,30016.0,RUB,35560.0,RUB,,,,
HK USP .45 ACP 12-round magazine,18882.0,,18882.0,,,,,,,,,2688.0,RUB,,,,,,
HK417/G28 7.62x51 20-round magazine,41000.0,,28987.0,,,,,,,,,4256.0,RUB,,,,,,
FN SCAR-H 7.62x51 20 inch barrel,22000.0,,47842.0,,,,,,,,,53984.0,RUB,,,,,,
FN SCAR-L 5.56x45 upper receiver,13000.0,,15763.0,,,,,,,,,7616.0,RUB,,,,,,
HK USP .45 ACP Elite compensator,24000.0,,24000.0,,,,,,,,,4256.0,RUB,,,,,,
Aimpoint PRO reflex sight,13995.0,,14711.0,,,,,,,,,30352.0,RUB,,,,,,
FN SCAR-H 7.62x51 20-round magazine,19000.0,,26745.0,,,,,,,,,4928.0,RUB,,,,,,
B&T QD NAR mount for Aimpoint ACRO,10000.0,,23487.0,,,,,,,,,3248.0,RUB,,,,,,
FN SCAR bottom rail,5000.0,,9448.0,,,,,,,,,1792.0,RUB,,,,,,
FN SCAR flip-up front sight,9000.0,,11221.0,,,,,,,,,3808.0,RUB,,,,,,
Aimpoint QRP2 mount for CompM4/PRO reflex sights,4000.0,,13077.0,,,,,,,,,3472.0,RUB,,,,,,
FN SCAR-L 5.56x45 upper receiver (FDE),11550.0,,15749.0,,,,,,,,,7952.0,RUB,,,,,,
Aimpoint Micro H-2 Standard Mount,24999.0,,24999.0,,,,,,,,,3136.0,RUB,,,,,,
FN SCAR-L 5.56x45 30-round magazine,8500.0,,11993.0,,,,,,,,,2576.0,RUB,,,,,,
HK MP5 B&T QD 9x19 muzzle brake,12000.0,,16552.0,,,,,,,,,6720.0,RUB,,,,,,
P226 9x19 15-round magazine,14999.0,,36666.0,,,,,,,,,2576.0,RUB,,,,,,
HK USP rail adapter,15000.0,,,,,,,,,,,1904.0,RUB,,,,,,
5.56x45 Magpul PMAG 30 GEN M3 W STANAG 30-round magazine,17000.0,,17391.0,,,,,,,,,4704.0,RUB,,,,,,
5.56x45mm M855,,,,,,,,,,,,224.0,RUB,,,,,,
High Standard M4SS Stock,5000.0,,7647.0,,,,,,,,,3808.0,RUB,,,,,,
Aimpoint Micro H-2 reflex sight,16000.0,,18989.0,,,,,,,,,26880.0,RUB,,,,,,
FN SCAR-L 5.56x45 14 inch barrel,29999.0,,32376.0,,,,,,,,,29120.0,RUB,,,,,,
5.56x45mm M856A1,,,,,,,,,,,,448.0,RUB,,,,,,
SKS 7.62x39 ProMag SKS-A5 20-round magazine,9000.0,,20115.0,,,,,,,,,9744.0,RUB,,,,,,
FN SCAR charging handle,10000.0,,8518.0,,,,,,,,,2912.0,RUB,,,,,,
AR-15 Badger Ordnance Tactical Charging Handle Latch,9999.0,,12983.0,,,,,,,,,5376.0,RUB,,,,,,
FN SCAR rubber buttpad,14997.0,,7425.0,,,,,,,,,3136.0,RUB,,,,,,
HK USP .45 ACP Match compensator,40000.0,,36666.0,,,,,,,,,7616.0,RUB,,,,,,
5.56x45 Magpul PMAG 20 GEN M3 STANAG 20-round magazine,7788.0,,7788.0,,,,,,,,,3696.0,RUB,,,,,,
NcSTAR MPR45 Backup mount,13995.0,,19967.0,,,,,,,,,8848.0,RUB,,,,,,
